,Q,Score Type,Time Remaining,Play,NO,OCO
1,1,TD,13:38,Ludicolo Bigby 1 yd run. (Alex Dasistwirklichseinnachname kick),0,7
2,1,TD,9:25,Ludicolo Bigby 5 yd run. (Alex Dasistwirklichseinnachname kick),0,14
3,1,FG,6:25,43 yd FG by Alex Dasistwirklichseinnachname,0,17
5,2,TD,4:00,Mason Blaylock 25 yd interception return. (Herbert Prohaska kick),7,17
7,3,FG,8:51,24 yd FG by Alex Dasistwirklichseinnachname,7,20
8,3,FG,7:16,52 yd FG by Herbert Prohaska,10,20
9,3,FG,2:01,42 yd FG by Alex Dasistwirklichseinnachname,10,23
11,4,FG,11:21,46 yd FG by Alex Dasistwirklichseinnachname,10,26
12,4,TD,6:11,Marcella Toriki 2 yd run. (2pt conversion failed),16,26
13,4,TD,2:02,Jeffrey Phillips (R) 22 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),16,33
