,Q,Score Type,Time Remaining,Play,SJS,AUS
1,1,FG,7:13,22 yd FG by Alfredo Crisco,0,3
3,2,TD,7:26,Action Jackson 1 yd pass from Dan Wright. (Matthew McDairmid (R) kick),7,3
4,2,FG,3:36,23 yd FG by Alfredo Crisco,7,6
5,2,TD,0:25,Easton Cole 24 yd run. (Alfredo Crisco kick),7,13
7,3,TD,10:56,Ryan Leaf Jr. 12 yd pass from Easton Cole. (Alfredo Crisco kick),7,20
8,3,SF,9:39,Dan Wright tackled for a safety.,7,22
9,3,TD,6:17,Rod Tidwell 5 yd pass from Easton Cole. (Alfredo Crisco kick),7,29
11,4,FG,13:55,43 yd FG by Alfredo Crisco,7,32
12,4,FG,5:17,31 yd FG by Alfredo Crisco,7,35
13,4,TD,0:39,Deondre Thomas-Fox 12 yd pass from Dan Wright. (Matthew McDairmid (R) kick),14,35
