,Q,Score Type,Time Remaining,Play,HON,AUS
1,1,TD,13:36,Mako Mendonca 1 yd run. (Alfredo Crisco kick),0,7
2,1,FG,2:57,23 yd FG by Alfredo Crisco,0,10
4,2,FG,11:28,30 yd FG by Alfredo Crisco,0,13
5,2,TD,6:10,Ruff Ruff 9 yd run. (Venus Powers kick),7,13
6,2,TD,5:52,Mako Mendonca 101 yd kickoff return. (Alfredo Crisco kick),7,20
7,2,TD,3:04,Easton Cole 15 yd run. (Alfredo Crisco kick),7,27
9,3,TD,12:00,Net Gaines 7 yd pass from Easton Cole. (Alfredo Crisco kick),7,34
10,3,FG,2:42,24 yd FG by Venus Powers,10,34
12,4,FG,15:00,37 yd FG by Alfredo Crisco,10,37
13,4,TD,7:59,Jed Podolak 10 yd pass from Corvo Havran. (Venus Powers kick),17,37
