,Q,Score Type,Time Remaining,Play,CHI,AUS
1,1,FG,7:01,32 yd FG by Sam Sidekick (R),3,0
3,2,TD,12:37,Rod Tidwell 1 yd pass from Easton Cole. (Alfredo Crisco kick),3,7
4,2,FG,7:01,37 yd FG by Sam Sidekick (R),6,7
5,2,TD,3:13,Net Gaines 29 yd pass from Easton Cole. (Alfredo Crisco kick),6,14
6,2,TD,0:03,Sean O'Leary 29 yd pass from George O'Donnell (R). (Sam Sidekick (R) kick),13,14
8,3,TD,7:28,Eddie Jeeta 7 yd pass from Easton Cole. (Alfredo Crisco kick),13,21
9,3,FG,0:53,43 yd FG by Alfredo Crisco,13,24
11,4,FG,13:23,27 yd FG by Sam Sidekick (R),16,24
12,4,FG,10:30,37 yd FG by Alfredo Crisco,16,27
13,4,FG,2:59,34 yd FG by Alfredo Crisco,16,30
