,Q,Score Type,Time Remaining,Play,AUS,COL
1,1,TD,11:16,Kichwa Jones 4 yd run. (Alfredo Crisco kick),7,0
2,1,FG,3:34,34 yd FG by Silver Banana,7,3
4,2,TD,14:19,Mako Mendonca 1 yd run. (Alfredo Crisco kick),14,3
5,2,FG,5:23,18 yd FG by Silver Banana,14,6
7,3,TD,7:39,Net Gaines 31 yd pass from Easton Cole. (Alfredo Crisco kick),21,6
8,3,TD,3:29,Net Gaines 33 yd pass from Easton Cole. (Alfredo Crisco kick),28,6
9,3,FG,2:35,25 yd FG by Silver Banana,28,9
11,4,TD,13:24,Rod Tidwell 38 yd pass from Easton Cole. (Alfredo Crisco kick),35,9
12,4,TD,5:03,Kichwa Jones 2 yd run. (Alfredo Crisco kick),42,9
13,4,TD,4:21,Richard Gilbert (R) 8 yd pass from Wolfie McDummy. (Silver Banana kick),42,16
