,Q,Score Type,Time Remaining,Play,SAR,NO
1,1,TD,5:29,Marcella Toriki 7 yd run. (Herbert Prohaska kick),0,7
3,2,FG,10:37,42 yd FG by Jacob Small (R),3,7
4,2,TD,2:18,James Angler (R) 12 yd pass from Dexter Banks II. (Jacob Small (R) kick),10,7
5,2,FG,0:29,49 yd FG by Herbert Prohaska,10,10
7,3,TD,12:51,Austin McCormick 14 yd pass from Stan Francisco. (Herbert Prohaska kick),10,17
8,3,FG,4:34,34 yd FG by Herbert Prohaska,10,20
9,3,TD,0:00,Michael Witheblock 6 yd pass from Dexter Banks II. (Jacob Small (R) kick),17,20
11,4,TD,13:23,Ugarth Dissector 22 yd interception return. (Herbert Prohaska kick),17,27
12,4,TD,8:14,Rayne Gordon 15 yd pass from Dexter Banks II. (Jacob Small (R) kick),24,27
13,4,FG,5:55,22 yd FG by Herbert Prohaska,24,30
