,Q,Score Type,Time Remaining,Play,CHI,SAR
1,1,TD,10:34,Farley Hank 3 yd run. (Sam Sidekick (R) kick),7,0
2,1,TD,2:50,Dexter Banks II 7 yd run. (Jacob Small (R) kick),7,7
3,1,TD,0:00,Griff Oberwald (R) 12 yd pass from George O'Donnell (R). (Sam Sidekick (R) kick),14,7
5,2,TD,6:28,Rayne Gordon 19 yd pass from Dexter Banks II. (Jacob Small (R) kick),14,14
6,2,TD,1:37,Julio Tirtawidjaja 5 yd run. (Sam Sidekick (R) kick),21,14
8,3,TD,13:48,James Angler (R) 16 yd pass from Dexter Banks II. (Jacob Small (R) kick),21,21
9,3,TD,11:57,Dax Frost 1 yd run. (Jacob Small (R) kick),21,28
10,3,TD,5:49,Sean O'Leary 6 yd pass from George O'Donnell (R). (Sam Sidekick (R) XP no good),27,28
11,3,FG,1:19,37 yd FG by Jacob Small (R),27,31
12,3,FG,0:06,20 yd FG by Jacob Small (R),27,34
14,4,TD,3:24,Farley Hank 8 yd run. (Sam Sidekick (R) kick),34,34
15,4,TD,0:12,Rayne Gordon 21 yd pass from Dexter Banks II. (Jacob Small (R) kick),34,41
