,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,FG,11:48,30 yd FG by Herbert Prohaska,0,3
2,1,FG,6:28,18 yd FG by Herbert Prohaska,0,6
3,1,TD,1:57,Thomas Passmann 9 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),7,6
5,2,TD,9:27,Galf Wilf 56 yd interception return. (J.J. Jay-Jaymison kick),14,6
6,2,SF,9:06,Stan Francisco tackled for a safety.,16,6
7,2,TD,0:29,Jay Cue 5 yd run. (J.J. Jay-Jaymison kick),23,6
9,3,TD,12:02,Forrest Gump 31 yd pass from Stan Francisco. (Herbert Prohaska kick),23,13
10,3,TD,1:55,Marcella Toriki 1 yd run. (Herbert Prohaska kick),23,20
11,3,TD,0:00,Thomas Passmann 48 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),30,20
13,4,TD,11:35,Austin McCormick 12 yd pass from Stan Francisco. (Herbert Prohaska kick),30,27
14,4,TD,4:50,Saba Donut 27 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),37,27
15,4,TD,1:14,Forrest Gump 6 yd pass from Stan Francisco. (Herbert Prohaska kick),37,34
16,4,FG,0:04,48 yd FG by Herbert Prohaska,37,37
18,5,FG,12:23,40 yd FG by Herbert Prohaska,37,40
