,Q,Score Type,Time Remaining,Play,SJS,OCO
1,1,TD,11:34,Jamar Lackson 4 yd run. (Matthew McDairmid kick),7,0
2,1,FG,3:58,32 yd FG by Alex Dasistwirklichseinnachname,7,3
4,2,FG,8:00,32 yd FG by Alex Dasistwirklichseinnachname,7,6
5,2,FG,0:23,30 yd FG by Matthew McDairmid,10,6
7,3,TD,10:45,Jeffrey Phillips 3 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),10,13
8,3,FG,4:37,40 yd FG by Matthew McDairmid,13,13
10,4,FG,13:42,33 yd FG by Matthew McDairmid,16,13
11,4,FG,6:07,42 yd FG by Matthew McDairmid,19,13
12,4,TD,1:40,Daniel George 2 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),19,20
13,4,TD,0:00,Tatsu Nakamura 1 yd run. (Alex Dasistwirklichseinnachname kick),19,27
