,Q,Score Type,Time Remaining,Play,AZ,HON
1,1,TD,9:08,Ke'oke'o Kane-Maika'i 88 yd punt return. (Venus Powers kick),0,7
3,2,TD,9:53,Nicholas Ayers (R) 20 yd pass from Luke Skywalker (R). (Venus Powers kick),0,14
4,2,FG,5:51,45 yd FG by J.J. Jay-Jaymison,3,14
5,2,TD,2:28,Nicholas Ayers (R) 2 yd run. (Venus Powers kick),3,21
7,3,TD,13:11,William Alexander 5 yd pass from Luke Skywalker (R). (Venus Powers kick),3,28
8,3,TD,7:52,Heath Evans 6 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),10,28
9,3,FG,3:01,21 yd FG by Venus Powers,10,31
10,3,TD,0:33,Saba Donut 12 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),17,31
12,4,FG,7:44,31 yd FG by J.J. Jay-Jaymison,20,31
13,4,FG,0:00,23 yd FG by Venus Powers,20,34
