,Q,Score Type,Time Remaining,Play,CHI,HON
1,1,FG,8:01,49 yd FG by Venus Powers,0,3
2,1,FG,0:03,28 yd FG by Sam Sidekick (R),3,3
4,2,TD,8:31,Ke'oke'o Kane-Maika'i 1 yd run. (Venus Powers kick),3,10
5,2,FG,5:20,21 yd FG by Venus Powers,3,13
6,2,FG,1:50,45 yd FG by Venus Powers,3,16
8,3,TD,10:35,Julio Tirtawidjaja 5 yd run. (Sam Sidekick (R) kick),10,16
9,3,TD,3:59,Baby Yoda 1 yd run. (Sam Sidekick (R) kick),17,16
11,4,TD,12:06,Nicholas Ayers (R) 1 yd run. (2pt conversion good),17,24
12,4,TD,8:45,Baby Yoda 4 yd run. (Sam Sidekick (R) kick),24,24
13,4,TD,6:26,Sean O'Leary 30 yd pass from George O'Donnell (R). (Sam Sidekick (R) kick),31,24
