,Q,Score Type,Time Remaining,Play,AUS,PHI
2,2,TD,10:39,Avon Blocksdale Jr. 7 yd pass from Brock Phoenix. (Karmichael Hunt (R) kick),0,7
3,2,TD,2:58,Nacho Varga 35 yd pass from Brock Phoenix. (Karmichael Hunt (R) kick),0,14
4,2,FG,0:00,57 yd FG by Karmichael Hunt (R),0,17
6,3,TD,10:36,Kichwa Jones 4 yd run. (Alfredo Crisco kick),7,17
7,3,FG,6:47,25 yd FG by Karmichael Hunt (R),7,20
8,3,TD,1:15,Kichwa Jones 4 yd run. (Alfredo Crisco kick),14,20
10,4,FG,11:16,43 yd FG by Alfredo Crisco,17,20
11,4,SF,10:01,Easton Cole tackled for a safety.,17,22
12,4,TD,4:48,Mako Mendonca 1 yd run. (2pt conversion good),25,22
13,4,FG,0:28,31 yd FG by Karmichael Hunt (R),25,25
15,5,TD,7:50,Fuzzy Dotson 1 yd run.,25,31
