,Q,Score Type,Time Remaining,Play,OCO,SAR
1,1,FG,10:29,26 yd FG by Alex Dasistwirklichseinnachname,3,0
2,1,FG,5:56,33 yd FG by Alex Dasistwirklichseinnachname,6,0
3,1,FG,0:38,29 yd FG by Alex Dasistwirklichseinnachname,9,0
5,2,TD,13:48,James Angler 22 yd pass from Dexter Banks II. (Jacob Small kick),9,7
6,2,FG,10:34,35 yd FG by Alex Dasistwirklichseinnachname,12,7
7,2,TD,7:30,Future Trunks 18 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),19,7
8,2,FG,3:49,38 yd FG by Jacob Small,19,10
10,3,FG,8:10,38 yd FG by Alex Dasistwirklichseinnachname,22,10
11,3,TD,5:36,Rayne Gordon 21 yd pass from Dexter Banks II. (Jacob Small kick),22,17
13,4,TD,6:40,James Angler 27 yd pass from Dexter Banks II. (2pt conversion failed),22,23
