,Q,Score Type,Time Remaining,Play,OCO,HON
1,1,TD,13:23,Keynel McZeal (R) 5 yd run. (Alex Dasistwirklichseinnachname kick),7,0
2,1,TD,6:03,Franklin Armstrong 6 yd run. (Alex Dasistwirklichseinnachname XP no good),13,0
4,2,TD,5:18,Nicholas Ayers (R) 1 yd run. (Venus Powers kick),13,7
5,2,FG,0:17,31 yd FG by Alex Dasistwirklichseinnachname,16,7
7,3,SF,13:29,Franklin Armstrong tackled for a safety.,16,9
8,3,TD,3:47,Nicholas Ayers (R) 7 yd pass from Luke Skywalker (R). (Venus Powers kick),16,16
9,3,TD,3:04,Garfield Despacito Jr. (R) 1 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),23,16
11,4,FG,13:11,32 yd FG by Alex Dasistwirklichseinnachname,26,16
12,4,TD,3:20,Future Trunks 17 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname XP no good),32,16
13,4,TD,1:21,Keynel McZeal (R) 2 yd run. (Alex Dasistwirklichseinnachname kick),39,16
