,Q,Score Type,Time Remaining,Play,SAR,COL
1,1,TD,10:05,James Angler 20 yd pass from Dexter Banks II. (Jacob Small kick),7,0
2,1,TD,5:41,Leeroy Jenkins (R) 1 yd pass from Wolfie McDummy. (Silver Banana kick),7,7
4,2,TD,9:19,Michael Witheblock 26 yd pass from Dexter Banks II. (Jacob Small kick),14,7
5,2,TD,3:22,Michael Witheblock 23 yd pass from Dexter Banks II. (Jacob Small kick),21,7
6,2,FG,0:42,38 yd FG by Silver Banana,21,10
8,3,FG,7:24,42 yd FG by Jacob Small,24,10
9,3,FG,4:35,32 yd FG by Silver Banana,24,13
10,3,FG,0:17,55 yd FG by Silver Banana,24,16
12,4,FG,9:26,41 yd FG by Jacob Small,27,16
13,4,TD,7:53,Running Back 6 yd run. (Jacob Small kick),34,16
