,Q,Score Type,Time Remaining,Play,AUS,OCO
1,1,FG,8:25,21 yd FG by Alex Dasistwirklichseinnachname,0,3
2,1,FG,6:02,37 yd FG by Alfredo Crisco,3,3
4,2,TD,14:53,Kichwa Jones 1 yd run. (Alfredo Crisco kick),10,3
5,2,FG,11:34,28 yd FG by Alex Dasistwirklichseinnachname,10,6
6,2,FG,9:06,34 yd FG by Alex Dasistwirklichseinnachname,10,9
7,2,TD,1:50,Tatsu Nakamura 1 yd run. (Alex Dasistwirklichseinnachname kick),10,16
8,2,FG,0:07,53 yd FG by Alfredo Crisco,13,16
10,3,FG,13:15,46 yd FG by Alex Dasistwirklichseinnachname,13,19
11,3,FG,9:37,30 yd FG by Alfredo Crisco,16,19
12,3,FG,6:05,24 yd FG by Alfredo Crisco,19,19
13,3,TD,0:19,Tatsu Nakamura 4 yd run. (Alex Dasistwirklichseinnachname XP no good),19,25
15,4,TD,3:46,Mako Mendonca 21 yd pass from Easton Cole. (Alfredo Crisco kick),26,25
