,Q,Score Type,Time Remaining,Play,OCO,NY
1,1,TD,8:56,Jackson Kingston 30 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),0,7
2,1,FG,6:28,33 yd FG by Alex Dasistwirklichseinnachname,3,7
3,1,TD,2:20,Buster Bawlls 4 yd run. (Dougie Smalls kick),3,14
4,1,TD,1:38,Tatsu Nakamura (C) 1 yd run. (Alex Dasistwirklichseinnachname kick),10,14
6,2,TD,10:14,Future Trunks 11 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),17,14
7,2,TD,5:30,Tatsu Nakamura (C) 1 yd run. (Alex Dasistwirklichseinnachname kick),24,14
8,2,TD,1:36,Sean Snyder (R) 17 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),24,21
10,3,FG,4:46,21 yd FG by Dougie Smalls,24,24
12,4,FG,12:45,42 yd FG by Dougie Smalls,24,27
13,4,TD,1:02,Tatsu Nakamura (C) 24 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),31,27
