,Q,Score Type,Time Remaining,Play,NO,HON
1,1,TD,10:15,Ke'oke'o Kane-Maika'i 5 yd run. (Venus Powers kick),0,7
2,1,FG,5:08,24 yd FG by Juke Thomason,3,7
3,1,TD,2:16,Ke'oke'o Kane-Maika'i 5 yd pass from Luke Skywalker (C). (Venus Powers kick),3,14
5,2,FG,12:55,40 yd FG by Venus Powers,3,17
6,2,FG,6:52,40 yd FG by Venus Powers,3,20
7,2,TD,5:42,Ragnar Krashwagen (R) 1 yd pass from Luke Skywalker (C). (Venus Powers kick),3,27
8,2,TD,1:29,Ed Barker 11 yd pass from Ben Slothlisberger. (Juke Thomason kick),10,27
10,3,TD,12:26,Ke'oke'o Kane-Maika'i 5 yd run. (Venus Powers kick),10,34
11,3,TD,7:51,Jed Podolak 8 yd pass from Luke Skywalker (C). (Venus Powers kick),10,41
12,3,TD,2:54,Ke'oke'o Kane-Maika'i 4 yd run. (Venus Powers kick),10,48
14,4,TD,14:06,Tre'Darius J'Vathon (R) 10 yd pass from Luke Skywalker (C). (Venus Powers kick),10,55
15,4,FG,9:42,38 yd FG by Juke Thomason,13,55
16,4,TD,8:19,Busch Light (R) 27 yd interception return. (Juke Thomason kick),20,55
17,4,TD,2:53,Marcella Toriki 5 yd run. (Juke Thomason kick),27,55
