,Q,Score Type,Time Remaining,Play,NY,AZ
1,1,TD,12:19,Thomas Passmann 43 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),0,7
2,1,FG,5:33,18 yd FG by J.J. Jay-Jaymison,0,10
4,2,FG,7:58,42 yd FG by J.J. Jay-Jaymison,0,13
5,2,FG,2:56,47 yd FG by J.J. Jay-Jaymison,0,16
7,3,FG,3:06,25 yd FG by Dougie Smalls,3,16
8,3,TD,0:00,Jackson Kingston 25 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),10,16
10,4,FG,12:12,35 yd FG by J.J. Jay-Jaymison,10,19
11,4,TD,9:44,Buster Bawlls 7 yd run. (Dougie Smalls kick),17,19
12,4,FG,8:14,23 yd FG by Dougie Smalls,20,19
13,4,TD,3:58,Jay Cue (C) 4 yd run. (2pt conversion failed),20,25
