,Q,Score Type,Time Remaining,Play,BER,PHI
1,1,TD,11:01,Randy Vuxta 44 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),0,7
2,1,FG,6:15,56 yd FG by Karmichael Hunt,3,7
3,1,TD,2:29,Randy Vuxta 7 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),3,14
5,2,TD,12:57,Dre Matthews (R) 15 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),10,14
6,2,TD,4:10,Nick Kaepercolin 2 yd run. (Karmichael Hunt XP no good),16,14
7,2,FG,1:26,37 yd FG by Jake Fencik (R),16,17
9,3,FG,5:47,31 yd FG by Karmichael Hunt,19,17
10,3,TD,3:31,Susan Cash Jr. (C) 24 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),26,17
11,3,TD,1:26,Killian Chambers (R) 37 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),26,24
13,4,TD,9:04,Danny King (R) 1 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),33,24
14,4,TD,4:11,Killian Chambers (R) 6 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),33,31
