,Q,Score Type,Time Remaining,Play,SAR,YKW
1,1,FG,9:13,19 yd FG by Jacob Small,3,0
2,1,TD,5:41,Mathias Hanyadi 4 yd run. (Blago Kokot (R) kick),3,7
3,1,TD,1:58,Kai Sakura (C) 20 yd pass from Colby Jack. (Blago Kokot (R) kick),3,14
5,2,FG,10:24,30 yd FG by Blago Kokot (R),3,17
6,2,TD,8:16,Mathias Hanyadi 1 yd run. (Blago Kokot (R) kick),3,24
7,2,FG,5:13,47 yd FG by Jacob Small,6,24
8,2,FG,2:24,40 yd FG by Jacob Small,9,24
10,3,TD,4:54,James Angler (C) 12 yd pass from Dexter Banks II. (Jacob Small kick),16,24
11,3,FG,0:26,31 yd FG by Jacob Small,19,24
13,4,FG,9:03,44 yd FG by Jacob Small,22,24
14,4,FG,1:18,43 yd FG by Blago Kokot (R),22,27
