,Q,Score Type,Time Remaining,Play,NO,AUS
1,1,FG,12:20,41 yd FG by Juke Thomason,3,0
2,1,FG,7:51,35 yd FG by Juke Thomason,6,0
3,1,FG,3:18,34 yd FG by Pseudo QB (R),6,3
4,1,TD,0:04,Zoe Watts (R) 8 yd run. (Pseudo QB (R) kick),6,10
6,2,TD,12:08,Ed Barker 57 yd pass from Ben Slothlisberger. (Juke Thomason XP no good),12,10
7,2,TD,2:16,None Videl-San (R) 5 yd pass from Easton Cole (C). (Pseudo QB (R) XP no good),12,16
8,2,TD,0:22,Ed Barker 43 yd pass from Ben Slothlisberger. (Juke Thomason kick),19,16
9,2,TD,0:06,Eddie Jeeta 91 yd kickoff return. (Pseudo QB (R) kick),19,23
11,3,SF,12:15,Ben Slothlisberger tackled for a safety.,19,25
12,3,TD,7:40,Eddie Jeeta 7 yd pass from Easton Cole (C). (Pseudo QB (R) kick),19,32
13,3,TD,0:32,Zoe Watts (R) 6 yd run. (Pseudo QB (R) kick),19,39
15,4,TD,12:15,Austin McCormick 9 yd pass from Ben Slothlisberger. (Juke Thomason kick),26,39
16,4,TD,6:31,Forrest Gump (C) 1 yd pass from Ben Slothlisberger. (Juke Thomason kick),33,39
17,4,FG,0:04,29 yd FG by Pseudo QB (R),33,42
