,Q,Score Type,Time Remaining,Play,COL,BER
1,1,TD,6:49,William Lim 10 yd pass from Wolfie McDummy (C). (Silver Banana kick),7,0
2,1,TD,2:54,Danny King (R) 3 yd run. (Karmichael Hunt kick),7,7
4,2,TD,12:32,Earl Sauce 26 yd pass from Wolfie McDummy (C). (Silver Banana kick),14,7
5,2,TD,9:40,Dre Matthews (R) 31 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),14,14
6,2,FG,4:24,39 yd FG by Silver Banana,17,14
7,2,FG,0:11,38 yd FG by Silver Banana,20,14
9,3,TD,5:10,Richard Gilbert 2 yd run. (Silver Banana kick),27,14
10,3,TD,1:14,Danny King (R) 1 yd run. (Karmichael Hunt kick),27,21
12,4,TD,5:20,Earl Sauce 2 yd pass from Wolfie McDummy (C). (Silver Banana kick),34,21
13,4,TD,1:11,Susan Cash Jr. (C) 6 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),34,28
