,Q,Score Type,Time Remaining,Play,BER,YKW
1,1,FG,12:05,28 yd FG by Karmichael Hunt,3,0
2,1,TD,8:00,Zee Rechs (R) 1 yd run. (Blago Kokot (R) kick),3,7
3,1,TD,1:51,Kai Sakura (C) 8 yd pass from Colby Jack. (Blago Kokot (R) kick),3,14
5,2,FG,15:00,41 yd FG by Karmichael Hunt,6,14
6,2,TD,8:59,Acura Skyline 1 yd pass from Colby Jack. (Blago Kokot (R) kick),6,21
7,2,TD,1:44,Acura Skyline 15 yd pass from Colby Jack. (Blago Kokot (R) kick),6,28
9,3,TD,10:58,Zee Rechs (R) 3 yd pass from Colby Jack. (Blago Kokot (R) kick),6,35
10,3,TD,6:32,Susan Cash Jr. (C) 4 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),13,35
11,3,FG,1:08,36 yd FG by Karmichael Hunt,16,35
13,4,TD,12:57,Kai Sakura (C) 7 yd pass from Colby Jack. (Blago Kokot (R) kick),16,42
