,Q,Score Type,Time Remaining,Play,NO,CHI
1,1,TD,10:12,Brock Bodenhamer (R) 26 yd pass from Ben Slothlisberger. (Juke Thomason kick),7,0
2,1,TD,8:11,Sean O'Leary (C) 25 yd pass from George O'Donnell. (Sam Sidekick kick),7,7
3,1,TD,5:14,Ed Barker 6 yd pass from Ben Slothlisberger. (Juke Thomason kick),14,7
5,2,TD,14:25,Luca Scabbia 21 yd pass from George O'Donnell. (Sam Sidekick kick),14,14
6,2,FG,9:31,29 yd FG by Juke Thomason,17,14
7,2,TD,5:40,Sean O'Leary (C) 5 yd pass from George O'Donnell. (Sam Sidekick kick),17,21
9,3,TD,10:23,Sean O'Leary (C) 18 yd pass from George O'Donnell. (Sam Sidekick kick),17,28
10,3,FG,7:11,44 yd FG by Juke Thomason,20,28
12,4,FG,13:01,43 yd FG by Sam Sidekick,20,31
13,4,FG,7:57,43 yd FG by Sam Sidekick,20,34
