,Q,Score Type,Time Remaining,Play,HON,YKW
1,1,TD,14:43,Ke'oke'o Kane-Maika'i 102 yd kickoff return. (Venus Powers kick),7,0
2,1,TD,7:54,Nicholas Ayers 7 yd run. (Venus Powers kick),14,0
3,1,TD,2:46,Jameson Vermillion (R) 1 yd run. (Blago Kokot (R) kick),14,7
4,1,TD,0:00,Jed Podolak 47 yd pass from Luke Skywalker (C). (Venus Powers kick),21,7
6,2,TD,12:32,Jameson Vermillion (R) 1 yd run. (Blago Kokot (R) kick),21,14
7,2,FG,0:54,20 yd FG by Venus Powers,24,14
9,3,FG,8:33,35 yd FG by Venus Powers,27,14
10,3,TD,5:51,Colby Jack 55 yd run. (Blago Kokot (R) kick),27,21
12,4,FG,7:32,38 yd FG by Venus Powers,30,21
13,4,TD,0:51,Zee Rechs (R) 1 yd pass from Colby Jack. (Blago Kokot (R) kick),30,28
