,Q,Score Type,Time Remaining,Play,NY,SAR
1,1,TD,10:26,Raphtalia Chan 10 yd pass from Dexter Banks II. (Jacob Small kick),0,7
2,1,TD,8:38,Raphtalia Chan 1 yd run. (Jacob Small kick),0,14
4,2,FG,9:56,46 yd FG by Dougie Smalls,3,14
5,2,FG,7:18,26 yd FG by Jacob Small,3,17
6,2,FG,2:37,25 yd FG by Dougie Smalls,6,17
8,3,TD,11:28,Michael Witheblock 6 yd pass from Dexter Banks II. (Jacob Small kick),6,24
9,3,TD,3:07,Rayne Gordon 7 yd pass from Dexter Banks II. (Jacob Small kick),6,31
11,4,TD,12:55,Rayne Gordon 2 yd pass from Dexter Banks II. (Jacob Small kick),6,38
12,4,TD,4:50,Jackson Kingston 7 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),13,38
13,4,FG,3:10,39 yd FG by Jacob Small,13,41
