,Q,Score Type,Time Remaining,Play,AZ,YKW
1,1,TD,14:42,Desmond Scarlett 106 yd kickoff return. (J.J. Jay-Jaymison kick),7,0
2,1,TD,12:16,Gunner Thorbjornsson (R) 1 yd run. (J.J. Jay-Jaymison kick),14,0
3,1,TD,2:31,Mathias Hanyadi 5 yd run. (J.J. Jay-Jaymison kick),21,0
5,2,FG,13:15,21 yd FG by J.J. Jay-Jaymison,24,0
6,2,TD,8:12,Acura Skyline 5 yd run. (Blago Kokot (R) kick),24,7
7,2,TD,4:55,Saba Donut 19 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),31,7
8,2,TD,2:21,Kai Sakura (C) 15 yd pass from Colby Jack. (Blago Kokot (R) kick),31,14
10,3,FG,6:15,44 yd FG by J.J. Jay-Jaymison,34,14
11,3,FG,1:37,32 yd FG by Blago Kokot (R),34,17
13,4,TD,13:02,Gunner Thorbjornsson (R) 3 yd run. (J.J. Jay-Jaymison kick),41,17
14,4,TD,7:59,Rigby Raccoon (R) 6 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),48,17
15,4,TD,5:24,Rigby Raccoon (R) 6 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),55,17
