,Q,Score Type,Time Remaining,Play,BER,COL
1,1,FG,10:51,40 yd FG by Karmichael Hunt,3,0
2,1,FG,5:39,33 yd FG by Karmichael Hunt,6,0
3,1,FG,1:36,36 yd FG by Silver Banana,6,3
5,2,TD,9:48,Danny King (R) 3 yd run. (Karmichael Hunt kick),13,3
6,2,TD,6:31,Richard Gilbert 18 yd run. (Silver Banana kick),13,10
7,2,TD,4:13,Richard Gilbert 1 yd run. (Silver Banana XP no good),13,16
8,2,FG,0:04,28 yd FG by Silver Banana,13,19
10,3,TD,8:31,William Lim 21 yd pass from Wolfie McDummy (C). (Silver Banana kick),13,26
11,3,TD,2:12,Clark Boyd 1 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),20,26
13,4,TD,13:26,Darrel Williams 18 yd pass from Wolfie McDummy (C). (Silver Banana kick),20,33
14,4,FG,8:37,18 yd FG by Silver Banana,20,36
15,4,TD,4:12,Dre Matthews (R) 1 yd pass from Nick Kaepercolin. (2pt conversion failed),26,36
16,4,TD,0:00,Clark Boyd 15 yd pass from Nick Kaepercolin. (Karmichael Hunt XP no good),32,36
