,Q,Score Type,Time Remaining,Play,PHI,SAR
1,1,TD,10:57,Captain Rogers (R) 10 yd run. (Jake Fencik (R) kick),7,0
2,1,TD,6:52,Michael Witheblock 3 yd pass from Dexter Banks II. (Jacob Small kick),7,7
3,1,SF,2:08,Dexter Banks II tackled for a safety.,9,7
5,2,TD,13:52,Raphtalia Chan 6 yd pass from Dexter Banks II. (Jacob Small kick),9,14
6,2,FG,7:43,34 yd FG by Jake Fencik (R),12,14
7,2,FG,0:28,28 yd FG by Jake Fencik (R),15,14
9,3,TD,12:36,Running Back 7 yd run. (Jacob Small kick),15,21
10,3,FG,6:34,18 yd FG by Jake Fencik (R),18,21
11,3,TD,4:47,Raphtalia Chan 21 yd pass from Dexter Banks II. (Jacob Small XP no good),18,27
12,3,FG,3:33,46 yd FG by Jacob Small,18,30
13,3,FG,0:52,36 yd FG by Jake Fencik (R),21,30
15,4,TD,10:28,James Angler (C) 6 yd pass from Dexter Banks II. (Jacob Small kick),21,37
16,4,TD,9:36,Rayne Gordon 1 yd pass from Dexter Banks II. (Jacob Small kick),21,44
17,4,TD,2:30,Captain Rogers (R) 4 yd run. (Jake Fencik (R) kick),28,44
