,Q,Score Type,Time Remaining,Play,AUS,HON
1,1,FG,9:15,23 yd FG by Pseudo QB (R),3,0
2,1,FG,0:14,29 yd FG by Venus Powers,3,3
4,2,TD,12:37,Zoe Watts (R) 7 yd run. (Pseudo QB (R) kick),10,3
5,2,FG,5:55,21 yd FG by Pseudo QB (R),13,3
6,2,SF,3:57,Easton Cole (C) tackled for a safety.,13,5
7,2,TD,1:25,Ke'oke'o Kane-Maika'i 34 yd pass from Luke Skywalker (C). (Venus Powers kick),13,12
8,2,FG,0:00,56 yd FG by Pseudo QB (R),16,12
10,3,TD,11:48,Jed Podolak 22 yd pass from Luke Skywalker (C). (Venus Powers kick),16,19
11,3,FG,6:24,39 yd FG by Venus Powers,16,22
13,4,TD,13:00,Nicholas Ayers 45 yd pass from Luke Skywalker (C). (Venus Powers kick),16,29
14,4,FG,10:27,33 yd FG by Pseudo QB (R),19,29
