,Q,Score Type,Time Remaining,Play,COL,SAR
1,1,TD,10:55,William Lim 1 yd pass from Wolfie McDummy (C). (Silver Banana kick),7,0
2,1,FG,4:48,36 yd FG by Silver Banana,10,0
3,1,TD,1:58,Raphtalia Chan 1 yd run. (Jacob Small kick),10,7
4,1,TD,1:39,William Lim 93 yd kickoff return. (Silver Banana kick),17,7
6,2,TD,13:06,Michael Witheblock 14 yd pass from Dexter Banks II. (Jacob Small kick),17,14
7,2,FG,1:30,33 yd FG by Jacob Small,17,17
9,3,TD,14:44,Cuco Clemente 108 yd kickoff return. (Jacob Small kick),17,24
10,3,FG,12:03,36 yd FG by Jacob Small,17,27
11,3,TD,8:32,William Lim 13 yd pass from Wolfie McDummy (C). (Silver Banana kick),24,27
12,3,TD,6:29,Michael Witheblock 40 yd pass from Dexter Banks II. (Jacob Small kick),24,34
14,4,FG,14:36,30 yd FG by Silver Banana,27,34
15,4,TD,5:27,Running Back 5 yd run. (Jacob Small kick),27,41
