,Q,Score Type,Time Remaining,Play,AUS,SAR
1,1,TD,8:52,Michael Witheblock 10 yd pass from Dexter Banks II. (Jacob Small kick),0,7
2,1,TD,5:23,Eddie Jeeta 22 yd pass from Easton Cole (C). (Pseudo QB (R) kick),7,7
3,1,TD,1:41,Running Back 1 yd run. (Jacob Small kick),7,14
5,2,FG,12:25,34 yd FG by Jacob Small,7,17
6,2,TD,9:06,Running Back 1 yd run. (Jacob Small kick),7,24
7,2,FG,2:46,47 yd FG by Pseudo QB (R),10,24
8,2,FG,0:14,37 yd FG by Jacob Small,10,27
10,3,FG,9:36,37 yd FG by Pseudo QB (R),13,27
11,3,TD,0:00,None Videl-San 43 yd pass from Easton Cole (C). (Pseudo QB (R) kick),20,27
13,4,FG,7:04,35 yd FG by Jacob Small,20,30
