,Q,Score Type,Time Remaining,Play,YKW,BER
1,1,TD,11:50,Kai Sakura (C) 24 yd pass from Colby Jack. (Blago Kokot (R) kick),7,0
2,1,TD,7:08,Kai Sakura (C) 7 yd pass from Colby Jack. (Blago Kokot (R) kick),14,0
3,1,TD,3:43,Acura Skyline 1 yd run. (Blago Kokot (R) kick),21,0
4,1,TD,0:47,Nick Kaepercolin 5 yd run. (Karmichael Hunt kick),21,7
6,2,FG,10:28,32 yd FG by Blago Kokot (R),24,7
7,2,FG,6:01,31 yd FG by Karmichael Hunt,24,10
8,2,FG,2:49,24 yd FG by Karmichael Hunt,24,13
10,3,FG,9:43,37 yd FG by Blago Kokot (R),27,13
11,3,FG,1:09,40 yd FG by Blago Kokot (R),30,13
13,4,FG,14:34,43 yd FG by Karmichael Hunt,30,16
14,4,TD,4:08,Dre Matthews (R) 34 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),30,23
15,4,TD,3:04,Hingle McCringleberry 49 yd interception return. (Karmichael Hunt kick),30,30
16,4,FG,0:26,21 yd FG by Blago Kokot (R),33,30
