,Q,Score Type,Time Remaining,Play,NY,OCO
1,1,TD,7:00,Tatsu Nakamura (C) 1 yd run. (Alex Dasistwirklichseinnachname kick),0,7
2,1,FG,4:33,45 yd FG by Dougie Smalls,3,7
3,1,FG,1:53,45 yd FG by Dougie Smalls,6,7
5,2,TD,12:12,Jeffrey Phillips 11 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),6,14
6,2,TD,8:15,Sean Snyder (R) 16 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),13,14
7,2,FG,6:02,33 yd FG by Alex Dasistwirklichseinnachname,13,17
8,2,TD,0:17,Jackson Kingston 25 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),20,17
10,3,FG,10:01,38 yd FG by Alex Dasistwirklichseinnachname,20,20
11,3,TD,8:42,Tyrone Biggums 35 yd interception return. (Alex Dasistwirklichseinnachname kick),20,27
12,3,FG,5:05,43 yd FG by Alex Dasistwirklichseinnachname,20,30
14,4,FG,9:19,27 yd FG by Alex Dasistwirklichseinnachname,20,33
15,4,TD,1:36,Jackson Kingston 2 yd pass from Sam Howitzer (R) (C). (Dougie Smalls kick),27,33
