,Q,Score Type,Time Remaining,Play,SAR,CHI
1,1,FG,0:03,19 yd FG by Sam Sidekick,0,3
3,2,FG,12:23,36 yd FG by Sam Sidekick,0,6
4,2,FG,7:56,35 yd FG by Sam Sidekick,0,9
5,2,TD,1:50,Michael Witheblock 10 yd pass from Dexter Banks II. (Jacob Small kick),7,9
7,3,TD,12:13,James Angler (C) 24 yd pass from Dexter Banks II. (Jacob Small kick),14,9
8,3,TD,5:49,Running Back 2 yd run. (Jacob Small kick),21,9
9,3,TD,1:58,Baby Yoda 3 yd run. (Sam Sidekick kick),21,16
10,3,TD,0:15,Rayne Gordon 70 yd pass from Dexter Banks II. (Jacob Small kick),28,16
12,4,FG,12:27,36 yd FG by Jacob Small,31,16
13,4,FG,7:13,24 yd FG by Sam Sidekick,31,19
14,4,TD,0:57,Tree Gelbman 7 yd pass from George O'Donnell. (Sam Sidekick kick),31,26
