,Q,Score Type,Time Remaining,Play,NY,CHI
1,1,TD,11:43,Ashley Owens 9 yd run. (Dougie Smalls kick),7,0
2,1,TD,8:58,Julio Tirtawidjaja 4 yd pass from George O'Donnell. (Sam Sidekick kick),7,7
3,1,TD,3:26,Baby Yoda 1 yd run. (Sam Sidekick kick),7,14
5,2,FG,15:00,20 yd FG by Dougie Smalls,10,14
6,2,TD,14:44,Sean O'Leary (C) 92 yd kickoff return. (Sam Sidekick kick),10,21
7,2,TD,11:10,Ashley Owens 1 yd run. (Dougie Smalls kick),17,21
8,2,TD,9:23,Sean O'Leary (C) 4 yd pass from George O'Donnell. (Sam Sidekick kick),17,28
10,3,FG,8:58,41 yd FG by Sam Sidekick,17,31
11,3,FG,6:10,43 yd FG by Dougie Smalls,20,31
12,3,FG,2:58,25 yd FG by Sam Sidekick,20,34
14,4,FG,14:57,20 yd FG by Dougie Smalls,23,34
15,4,TD,9:01,Leon McDavid 13 yd pass from Sam Howitzer (R) (C). (2pt conversion failed),29,34
16,4,FG,3:48,18 yd FG by Dougie Smalls,32,34
