,Q,Score Type,Time Remaining,Play,YKW,SAR
1,1,FG,11:19,36 yd FG by Blago Kokot (R),3,0
2,1,TD,4:05,Dexter Banks II 4 yd run. (Jacob Small kick),3,7
3,1,TD,0:42,Running Back 8 yd run. (Jacob Small kick),3,14
5,2,TD,11:19,Jameson Vermillion (R) 3 yd run. (Blago Kokot (R) XP no good),9,14
6,2,TD,3:08,Acura Skyline 7 yd pass from Colby Jack. (Blago Kokot (R) kick),16,14
7,2,TD,0:19,Rayne Gordon 21 yd pass from Dexter Banks II. (Jacob Small kick),16,21
9,3,TD,3:19,Tre'Darius J'Vathon (R) 10 yd pass from Dexter Banks II. (Jacob Small kick),16,28
11,4,TD,11:35,Dexter Banks II 4 yd run. (Jacob Small kick),16,35
12,4,TD,4:17,Jameson Vermillion (R) 10 yd pass from Colby Jack. (Blago Kokot (R) kick),23,35
13,4,FG,0:00,34 yd FG by Jacob Small,23,38
