,Q,Score Type,Time Remaining,Play,SAR,BAL
1,1,FG,7:40,42 yd FG by Jacob Small,3,0
2,1,TD,3:09,Doug Howlett (R) 50 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),3,7
3,1,TD,0:25,Running Back 1 yd pass from Dexter Banks II. (Jacob Small XP no good),9,7
5,2,TD,12:10,Raphtalia Chan 39 yd pass from Dexter Banks II. (Jacob Small kick),16,7
6,2,TD,5:10,Joshua Campbell (R) 36 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),16,14
7,2,TD,1:13,Korbin Brown (R) 3 yd pass from Chika Fujiwara (C). (Datsum PhastBawls kick),16,21
8,2,TD,0:56,Raphtalia Chan 92 yd kickoff return. (Jacob Small kick),23,21
10,3,TD,9:49,Michael Witheblock 26 yd pass from Dexter Banks II. (Jacob Small kick),30,21
11,3,TD,5:06,James Lewandowski 6 yd pass from Chika Fujiwara (C). (Datsum PhastBawls XP no good),30,27
13,4,FG,15:00,57 yd FG by Datsum PhastBawls,30,30
14,4,FG,12:55,46 yd FG by Datsum PhastBawls,30,33
15,4,TD,8:03,Raphtalia Chan 1 yd pass from Dexter Banks II. (Jacob Small kick),37,33
16,4,FG,4:33,32 yd FG by Datsum PhastBawls,37,36
17,4,TD,2:30,James Angler (C) 20 yd pass from Dexter Banks II. (Jacob Small kick),44,36
