,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,FG,10:40,47 yd FG by Alex Dasistwirklichseinnachname,3,0
2,1,TD,6:56,Heath Evans 16 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname kick),10,0
3,1,TD,5:16,Taro Raimon 66 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),10,7
4,1,TD,2:06,Bronko Mills (R) 5 yd run. (Alex Dasistwirklichseinnachname kick),17,7
5,1,TD,0:00,Saba Donut 23 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),17,14
7,2,TD,12:23,Jeffrey Phillips 8 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname kick),24,14
8,2,TD,10:14,Gunner Thorbjornsson 8 yd run. (J.J. Jay-Jaymison kick),24,21
9,2,TD,6:42,Thomas Passmann 29 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),24,28
10,2,SF,5:14,Jay Cue (C) tackled for a safety.,26,28
11,2,TD,3:05,Brandon Booker 98 yd punt return. (Alex Dasistwirklichseinnachname XP no good),32,28
12,2,FG,0:18,34 yd FG by J.J. Jay-Jaymison,32,31
14,3,FG,4:45,20 yd FG by J.J. Jay-Jaymison,32,34
15,3,TD,1:09,Garfield Despacito Jr. (C) 29 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname kick),39,34
17,4,FG,10:02,25 yd FG by Alex Dasistwirklichseinnachname,42,34
18,4,TD,2:07,Gunner Thorbjornsson 3 yd run. (2pt conversion good),42,42
19,4,FG,0:20,53 yd FG by Alex Dasistwirklichseinnachname,45,42
