,Q,Score Type,Time Remaining,Play,BER,NY
1,1,TD,8:44,Ashley Owens 7 yd run. (Dougie Smalls kick),0,7
2,1,TD,0:00,Jackson Kingston 15 yd pass from Sam Howitzer (C). (Dougie Smalls kick),0,14
4,2,TD,7:28,Jackson Kingston 9 yd pass from Sam Howitzer (C). (Dougie Smalls kick),0,21
5,2,TD,4:45,Danny King 4 yd run. (Karmichael Hunt kick),7,21
7,3,FG,6:33,31 yd FG by Karmichael Hunt,10,21
8,3,FG,3:30,22 yd FG by Dougie Smalls,10,24
9,3,FG,0:01,32 yd FG by Karmichael Hunt,13,24
11,4,TD,12:05,Buster Bawlls 9 yd pass from Sam Howitzer (C). (Dougie Smalls kick),13,31
12,4,TD,9:16,Joseph Petrongolo 7 yd run. (Karmichael Hunt kick),20,31
13,4,TD,5:25,Ashley Owens 1 yd run. (Dougie Smalls kick),20,38
