,Q,Score Type,Time Remaining,Play,BER,SAR
1,1,FG,7:54,18 yd FG by Jacob Small,0,3
2,1,TD,5:13,Raphtalia Chan 9 yd run. (Jacob Small kick),0,10
4,2,FG,14:53,40 yd FG by Jacob Small,0,13
5,2,TD,9:12,Running Back 3 yd run. (Jacob Small kick),0,20
6,2,TD,0:25,Raphtalia Chan 3 yd run. (Jacob Small kick),0,27
8,3,TD,10:04,Raphtalia Chan 12 yd pass from Mike Boss Jr. (R). (Jacob Small kick),0,34
9,3,FG,1:32,45 yd FG by Jacob Small,0,37
11,4,FG,13:57,43 yd FG by Karmichael Hunt,3,37
12,4,FG,9:01,22 yd FG by Jacob Small,3,40
13,4,FG,4:36,42 yd FG by Jacob Small,3,43
14,4,TD,0:37,Joseph Petrongolo 33 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),10,43
