Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Cross, M.",PHI,7,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"DeSoto, J.",PHI,7,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Dookmarriot, L.",PHI,6,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,3,26
"Goodman, G.",PHI,6,0,1,0/0,2,0,0,0,0/0/0,0,0,0,0,3,26
"Fieri, D.",PHI,5,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,3,26
"Zelos, J.",PHI,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Roes, S.",PHI,4,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Wrecks, T.",PHI,3,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Haywood, H.",PHI,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Hoffman, J.",PHI,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Rose, T.",PHI,2,0,0,1/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Silva, B.",PHI,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Phoenix, B.",PHI,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,3,26
"Goku, S.",SAR,9,3,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Mango-Panda, H.",SAR,7,0,1,0/0,2,0,0,0,0/0/0,0,0,0,0,3,26
"Utterstruzen, T.",SAR,6,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Dillmiballs, F.",SAR,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Clemente, C.",SAR,4,0,0,1/0,1,1,0,0,0/0/0,0,0,0,0,3,26
"De Ville, D.",SAR,4,0,0,1/1,1,0,0,0,0/0/0,1,0,0,0,3,26
"Andrews, H.",SAR,3,0,0,0/0,1,1,0,0,0/0/0,0,0,0,0,3,26
"Beat, N.",SAR,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Nkiah, J.",SAR,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Patterson, P.",SAR,2,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,3,26
"Karpaasi, M.",SAR,1,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Angler, J.",SAR,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,3,26
