,Q,Score Type,Time Remaining,Play,CHI,BER
1,1,TD,9:43,Joseph Petrongolo 4 yd run. (Karmichael Hunt kick),0,7
2,1,TD,6:13,Swantavius Jones 55 yd interception return. (Karmichael Hunt kick),0,14
3,1,TD,0:13,Damian Blackfyre (R) 19 yd interception return. (Sam Sidekick kick),7,14
5,2,TD,7:45,Sean O'Leary (C) 17 yd pass from George O'Donnell. (Sam Sidekick kick),14,14
6,2,FG,5:55,43 yd FG by Karmichael Hunt,14,17
7,2,FG,0:11,45 yd FG by Sam Sidekick,17,17
9,3,TD,9:20,Julio Tirtawidjaja 4 yd run. (Sam Sidekick kick),24,17
11,4,FG,15:00,45 yd FG by Karmichael Hunt,24,20
12,4,TD,10:05,Susan Cash Jr. 7 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),24,27
13,4,FG,3:50,33 yd FG by Karmichael Hunt,24,30
14,4,TD,0:00,Tree Gelbman 33 yd pass from George O'Donnell. (Sam Sidekick kick),31,30
