,Q,Score Type,Time Remaining,Play,HON,AZ
1,1,TD,13:06,Guy Fields (C) 35 yd interception return. (Venus Powers kick),7,0
2,1,TD,9:50,Thomas Passmann 27 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),7,7
3,1,TD,0:00,Ragnar Krashwagen 5 yd pass from Luke Skywalker (C). (Venus Powers kick),14,7
5,2,TD,14:42,Taro Raimon 2 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),14,14
6,2,TD,8:19,Rigby Raccoon 1 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),14,21
7,2,FG,2:08,45 yd FG by J.J. Jay-Jaymison,14,24
8,2,FG,0:06,49 yd FG by Venus Powers,17,24
10,3,TD,11:19,Darren Pama (R) 7 yd run. (J.J. Jay-Jaymison kick),17,31
11,3,FG,6:02,42 yd FG by J.J. Jay-Jaymison,17,34
13,4,FG,12:38,30 yd FG by Venus Powers,20,34
14,4,FG,9:49,33 yd FG by J.J. Jay-Jaymison,20,37
15,4,TD,2:07,Saba Donut 5 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),20,44
