,Q,Score Type,Time Remaining,Play,SAR,AZ
1,1,TD,11:19,Running Back 5 yd run. (Jacob Small kick),7,0
2,1,TD,7:27,Tre'Darius J'Vathon 24 yd pass from Mike Boss Jr. (R). (Jacob Small kick),14,0
3,1,FG,1:38,41 yd FG by Jacob Small,17,0
4,1,TD,0:14,Thomas Passmann 9 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),17,7
6,2,FG,8:39,33 yd FG by J.J. Jay-Jaymison,17,10
7,2,TD,1:35,Michael Witheblock 16 yd pass from Mike Boss Jr. (R). (Jacob Small kick),24,10
9,3,FG,6:27,37 yd FG by Jacob Small,27,10
10,3,FG,4:05,32 yd FG by J.J. Jay-Jaymison,27,13
12,4,TD,9:29,Rayne Gordon 31 yd pass from Mike Boss Jr. (R). (Jacob Small kick),34,13
13,4,TD,7:42,Saba Donut 29 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),34,20
