,Q,Score Type,Time Remaining,Play,AZ,AUS
1,1,FG,8:08,44 yd FG by Pseudo QB (R),0,3
2,1,FG,0:35,36 yd FG by J.J. Jay-Jaymison,3,3
4,2,FG,11:57,43 yd FG by Pseudo QB (R),3,6
5,2,TD,8:04,Darren Pama (R) 1 yd run. (J.J. Jay-Jaymison kick),10,6
6,2,FG,2:04,35 yd FG by Pseudo QB (R),10,9
8,3,TD,8:50,Kichwa Jones 3 yd run. (Pseudo QB (R) kick),10,16
9,3,FG,4:40,25 yd FG by Pseudo QB (R),10,19
10,3,TD,0:00,Zoe Watts (C) 1 yd run. (Pseudo QB (R) kick),10,26
12,4,TD,12:36,Darren Pama (R) 6 yd run. (2pt conversion good),18,26
13,4,TD,3:16,Darren Pama (R) 3 yd run. (2pt conversion good),26,26
14,4,FG,0:21,21 yd FG by Pseudo QB (R),26,29
