,Q,Score Type,Time Remaining,Play,OCO,BER
1,1,TD,10:09,Tatsu Nakamura 5 yd run. (Alex Dasistwirklichseinnachname kick),7,0
2,1,FG,4:48,38 yd FG by Karmichael Hunt,7,3
4,2,TD,14:12,Tatsu Nakamura 8 yd run. (Alex Dasistwirklichseinnachname kick),14,3
5,2,TD,9:34,Joseph Petrongolo 3 yd run. (Karmichael Hunt kick),14,10
6,2,TD,3:30,Owen Holloway 6 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname kick),21,10
7,2,FG,0:05,27 yd FG by Karmichael Hunt,21,13
9,3,TD,7:26,Clark Boyd 4 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),21,20
11,4,TD,10:57,Bronko Mills (R) 1 yd run. (Alex Dasistwirklichseinnachname kick),28,20
12,4,TD,5:38,Danny King 1 yd run. (2pt conversion good),28,28
13,4,TD,2:02,Garfield Despacito Jr. (C) 19 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname kick),35,28
