,Q,Score Type,Time Remaining,Play,HON,CHI
1,1,TD,14:44,Shawn Dawkins 92 yd kickoff return. (Venus Powers kick),7,0
2,1,TD,12:12,Baby Yoda 3 yd run. (Sam Sidekick kick),7,7
3,1,TD,10:04,Nicholas Ayers 4 yd run. (Venus Powers kick),14,7
4,1,TD,5:12,Julio Tirtawidjaja 2 yd run. (Sam Sidekick kick),14,14
5,1,TD,1:27,Luca Scabbia 19 yd pass from George O'Donnell. (Sam Sidekick kick),14,21
7,2,TD,13:12,Nicholas Ayers 5 yd run. (Venus Powers kick),21,21
8,2,FG,10:18,41 yd FG by Venus Powers,24,21
9,2,TD,9:32,Nicholas Ayers 1 yd run. (Venus Powers XP no good),30,21
10,2,TD,5:53,Baby Yoda 4 yd run. (Sam Sidekick kick),30,28
11,2,FG,3:25,25 yd FG by Venus Powers,33,28
13,3,TD,8:20,Tree Gelbman 7 yd pass from George O'Donnell. (Sam Sidekick kick),33,35
14,3,FG,3:53,35 yd FG by Sam Sidekick,33,38
16,4,TD,11:37,Korbin Brown 18 yd pass from Luke Skywalker (C). (2pt conversion failed),39,38
17,4,FG,5:58,17 yd FG by Sam Sidekick,39,41
18,4,TD,0:00,Baby Yoda 3 yd run. (Sam Sidekick kick),39,48
