,Q,Score Type,Time Remaining,Play,CHI,OCO
1,1,FG,9:32,32 yd FG by Alex Dasistwirklichseinnachname,0,3
2,1,FG,4:06,19 yd FG by Sam Sidekick,3,3
4,2,TD,12:32,Tree Gelbman 3 yd pass from George O'Donnell. (Sam Sidekick kick),10,3
5,2,TD,5:30,Tatsu Nakamura 7 yd run. (Alex Dasistwirklichseinnachname kick),10,10
7,3,TD,12:37,Heath Evans 14 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname kick),10,17
8,3,TD,8:34,Sean O'Leary (C) 16 yd pass from George O'Donnell. (Sam Sidekick kick),17,17
9,3,TD,5:18,Owen Holloway 8 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname kick),17,24
11,4,TD,14:14,Heath Evans 20 yd pass from Suleiman Ramza. (Alex Dasistwirklichseinnachname kick),17,31
12,4,TD,10:46,Julio Tirtawidjaja 6 yd pass from George O'Donnell. (Sam Sidekick kick),24,31
13,4,FG,8:05,23 yd FG by Alex Dasistwirklichseinnachname,24,34
14,4,FG,4:04,32 yd FG by Sam Sidekick,27,34
