,Q,Score Type,Time Remaining,Play,SAR,SJS
1,1,FG,8:27,37 yd FG by Matthew McDairmid,0,3
2,1,TD,2:59,Rando Cardrissian 7 yd pass from Monterey Jack. (Matthew McDairmid kick),0,10
4,2,TD,10:44,Zach Crossley (R) 7 yd pass from Monterey Jack. (Matthew McDairmid kick),0,17
5,2,TD,5:04,Zach Crossley (R) 8 yd pass from Monterey Jack. (Matthew McDairmid kick),0,24
6,2,TD,2:25,Michael Witheblock 25 yd pass from Mike Boss Jr. (R). (Jacob Small kick),7,24
8,3,TD,12:13,Rando Cardrissian 3 yd run. (Matthew McDairmid kick),7,31
9,3,FG,9:30,33 yd FG by Jacob Small,10,31
11,4,TD,13:56,Deondre Thomas-Fox (C) 9 yd pass from Monterey Jack. (Matthew McDairmid kick),10,38
12,4,TD,12:12,Jamar Lackson 1 yd run. (Matthew McDairmid kick),10,45
13,4,TD,11:41,Brendan Lanier 41 yd interception return. (Matthew McDairmid kick),10,52
14,4,TD,2:27,Running Back 1 yd run. (Jacob Small kick),17,52
