,Q,Score Type,Time Remaining,Play,COL,HON
1,1,FG,5:19,21 yd FG by Silver Banana,3,0
2,1,TD,2:37,Ragnar Krashwagen 9 yd pass from Luke Skywalker (C). (Venus Powers kick),3,7
4,2,TD,13:55,Luke Skywalker (C) 1 yd run. (Venus Powers kick),3,14
5,2,TD,10:03,Richard Gilbert 3 yd run. (Silver Banana kick),10,14
6,2,TD,3:44,William Lim (C) 8 yd pass from Mattathias Caliban (R). (Silver Banana kick),17,14
7,2,TD,0:48,Ragnar Krashwagen 1 yd pass from Luke Skywalker (C). (Venus Powers kick),17,21
9,3,TD,9:40,Daniel George 3 yd pass from Mattathias Caliban (R). (Silver Banana kick),24,21
10,3,FG,6:36,41 yd FG by Venus Powers,24,24
11,3,FG,1:53,38 yd FG by Venus Powers,24,27
13,4,FG,9:43,42 yd FG by Silver Banana,27,27
15,5,FG,6:18,33 yd FG by Silver Banana,30,27
