,Q,Score Type,Time Remaining,Play,BER,AUS
1,1,TD,8:58,Danny King 1 yd run. (Karmichael Hunt kick),7,0
2,1,TD,3:50,Danny King 1 yd run. (Karmichael Hunt kick),14,0
3,1,TD,3:33,Eddie Jeeta 102 yd kickoff return. (Pseudo QB (R) kick),14,7
5,2,TD,13:01,Eddie Jeeta 18 yd pass from Easton Cole. (Pseudo QB (R) kick),14,14
6,2,FG,7:05,31 yd FG by Karmichael Hunt,17,14
7,2,FG,1:57,39 yd FG by Pseudo QB (R),17,17
9,3,TD,11:23,Joseph Petrongolo 3 yd run. (Karmichael Hunt kick),24,17
10,3,TD,2:44,Zoe Watts (C) 7 yd pass from Easton Cole. (Pseudo QB (R) kick),24,24
12,4,TD,13:09,Joseph Petrongolo 9 yd run. (Karmichael Hunt kick),31,24
13,4,TD,6:12,Susan Cash Jr. 8 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),38,24
