,Q,Score Type,Time Remaining,Play,PHI,NY
1,1,TD,8:42,Harley Fank (R) 9 yd pass from Sam Howitzer (C). (Dougie Smalls kick),0,7
2,1,TD,3:14,Brock Phoenix (C) 12 yd run. (Jake Fencik kick),7,7
3,1,TD,2:41,Sam Torenson 1 yd run. (Jake Fencik kick),14,7
5,2,FG,14:45,33 yd FG by Dougie Smalls,14,10
6,2,FG,6:38,47 yd FG by Jake Fencik,17,10
7,2,TD,1:09,Ashley Owens 14 yd pass from Sam Howitzer (C). (Dougie Smalls kick),17,17
9,3,TD,7:26,Sean Snyder (R) 14 yd pass from Sam Howitzer (C). (Dougie Smalls kick),17,24
10,3,FG,3:04,26 yd FG by Dougie Smalls,17,27
12,4,FG,13:03,23 yd FG by Dougie Smalls,17,30
13,4,TD,7:31,Killian Chambers 21 yd pass from Brock Phoenix (C). (Jake Fencik kick),24,30
