,Q,Score Type,Time Remaining,Play,PHI,ARI
2,2,FG,14:45,29 yd FG by Stephen Harris,3,0
3,2,TD,10:49,Jaxon Tuck 2 yd run. (Cristiano Ronaldo kick),3,7
4,2,FG,6:06,19 yd FG by Cristiano Ronaldo,3,10
6,3,FG,11:14,46 yd FG by Stephen Harris,6,10
7,3,TD,8:08,Reg Mackworthy 6 yd run. (Cristiano Ronaldo kick),6,17
8,3,TD,4:23,Charles Arthur Chess 10 yd pass from King Bronko. (Cristiano Ronaldo kick),6,24
10,4,FG,14:16,32 yd FG by Cristiano Ronaldo,6,27
11,4,TD,11:06,Jaxon Tuck 4 yd run. (Cristiano Ronaldo kick),6,34
12,4,TD,5:05,Samuel Zhang 13 yd pass from King Bronko. (Cristiano Ronaldo kick),6,41
13,4,TD,1:16,Jaxon Tuck 6 yd run. (Cristiano Ronaldo kick),6,48
