,Q,Score Type,Time Remaining,Play,ARI,OCO
1,1,TD,11:24,Reg Mackworthy 4 yd run. (Cristiano Ronaldo kick),7,0
2,1,TD,7:35,Bradley Westfield 1 yd pass from Mike Boss. (Bradley Madlad kick),7,7
3,1,FG,4:50,39 yd FG by Cristiano Ronaldo,10,7
5,2,TD,8:35,Josh Garden 6 yd pass from King Bronko. (Cristiano Ronaldo kick),17,7
6,2,FG,4:04,28 yd FG by Bradley Madlad,17,10
7,2,FG,0:26,35 yd FG by Cristiano Ronaldo,20,10
9,3,TD,12:01,Leroy Jenkins 1 yd run. (Bradley Madlad kick),20,17
10,3,FG,8:20,42 yd FG by Bradley Madlad,20,20
12,4,TD,13:40,Reg Mackworthy 4 yd run. (Cristiano Ronaldo kick),27,20
13,4,TD,4:56,Steven O'Sullivan 13 yd pass from Mike Boss. (Bradley Madlad kick),27,27
15,5,TD,5:23,Reg Mackworthy 4 yd run.,33,27
