,Q,Score Type,Time Remaining,Play,ARI,PHI
1,1,TD,4:25,Dustin Evans 10 yd pass from King Bronko. (Cristiano Ronaldo kick),7,0
3,2,FG,7:34,25 yd FG by Cristiano Ronaldo,10,0
5,3,TD,11:54,Dustin Evans 12 yd pass from King Bronko. (Cristiano Ronaldo kick),17,0
6,3,TD,5:35,Damien Kroetch 4 yd run. (Stephen Harris kick),17,7
7,3,TD,4:22,Josh Garden 19 yd pass from King Bronko. (Cristiano Ronaldo kick),24,7
8,3,TD,0:41,Josh Garden 12 yd pass from King Bronko. (Cristiano Ronaldo kick),31,7
9,3,TD,0:00,Josh Garden 11 yd pass from King Bronko. (Cristiano Ronaldo kick),38,7
11,4,FG,11:18,43 yd FG by Stephen Harris,38,10
12,4,FG,5:22,45 yd FG by Cristiano Ronaldo,41,10
13,4,TD,2:01,Josh Garden 4 yd pass from King Bronko. (Cristiano Ronaldo kick),48,10
