,Q,Score Type,Time Remaining,Play,YKW,LV
1,1,TD,11:04,Eric Kennedy 2 yd pass from Mat Akselsen. (Joseph Lombardi kick),7,0
2,1,FG,4:21,46 yd FG by Wayne Gooney,7,3
4,2,TD,14:39,DJ Law 2 yd pass from Mat Akselsen. (Joseph Lombardi XP no good),13,3
5,2,FG,6:09,21 yd FG by Joseph Lombardi,16,3
6,2,FG,3:41,18 yd FG by Joseph Lombardi,19,3
8,3,TD,9:18,Jon Ross 7 yd pass from Wallace Stone. (Wayne Gooney kick),19,10
9,3,TD,0:36,Gosh Jarden 20 yd pass from Mat Akselsen. (Joseph Lombardi kick),26,10
10,3,SF,0:10,Wallace Stone tackled for a safety.,28,10
12,4,FG,12:41,25 yd FG by Wayne Gooney,28,13
13,4,TD,9:27,Ardie Savea 2 yd run. (Wayne Gooney kick),28,20
14,4,TD,0:45,Bubba Nuck 3 yd run. (Joseph Lombardi kick),35,20
