,Q,Score Type,Time Remaining,Play,ARI,BAL
1,1,FG,11:58,23 yd FG by Cristiano Ronaldo,3,0
2,1,TD,4:02,Josh Garden 13 yd pass from King Bronko. (Cristiano Ronaldo kick),10,0
4,2,TD,6:16,Trey Willie 30 yd pass from Avon Blocksdale. (Turk Turkleton kick),10,7
5,2,TD,3:26,Josh Garden 14 yd pass from King Bronko. (Cristiano Ronaldo kick),17,7
7,3,FG,10:53,44 yd FG by Turk Turkleton,17,10
8,3,TD,6:31,None Stormblessed 13 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,17
10,4,TD,12:33,Owen Taylor 3 yd run. (Turk Turkleton kick),17,24
11,4,TD,10:05,Dustin Evans 18 yd pass from King Bronko. (Cristiano Ronaldo kick),24,24
12,4,FG,6:16,32 yd FG by Cristiano Ronaldo,27,24
13,4,TD,2:40,Darlane Farlane 5 yd run. (Turk Turkleton kick),27,31
