,Q,Score Type,Time Remaining,Play,LV,OCO
1,1,TD,10:56,Erlich Burnsman 2 yd run. (Bradley Madlad kick),0,7
2,1,TD,3:48,Robert Phelps 5 yd pass from Mike Boss. (Bradley Madlad kick),0,14
3,1,TD,0:20,Bradley Westfield 9 yd pass from Mike Boss. (Bradley Madlad kick),0,21
5,2,FG,10:17,33 yd FG by Wayne Gooney,3,21
6,2,TD,8:30,Bradley Westfield 31 yd pass from Mike Boss. (Bradley Madlad kick),3,28
7,2,TD,1:20,Erlich Burnsman 1 yd run. (Bradley Madlad kick),3,35
9,3,FG,12:12,50 yd FG by Bradley Madlad,3,38
11,4,TD,13:50,Robert Phelps 15 yd pass from Mike Boss. (Bradley Madlad kick),3,45
12,4,TD,9:06,Steven O'Sullivan 3 yd pass from Mike Boss. (Bradley Madlad kick),3,52
13,4,TD,3:08,Leroy Jenkins 2 yd run. (Bradley Madlad kick),3,59
