,Q,Score Type,Time Remaining,Play,LV,SJS
1,1,FG,6:01,46 yd FG by Iyah Blewitt,0,3
3,2,TD,7:34,Jordan Yates 8 yd run. (Iyah Blewitt XP no good),0,9
4,2,FG,4:19,45 yd FG by Wayne Gooney,3,9
5,2,TD,0:00,Jordan Yates 31 yd run. (Iyah Blewitt kick),3,16
7,3,TD,8:35,Mayran Jackson 4 yd pass from Chris Orosz. (Iyah Blewitt kick),3,23
8,3,FG,4:04,25 yd FG by Wayne Gooney,6,23
10,4,TD,12:38,Denzel Diaz 9 yd pass from Chris Orosz. (Iyah Blewitt kick),6,30
11,4,TD,7:05,Mayran Jackson 1 yd pass from Chris Orosz. (Iyah Blewitt kick),6,37
12,4,TD,4:19,Mayran Jackson 12 yd pass from Chris Orosz. (Iyah Blewitt kick),6,44
13,4,TD,0:00,Alexandre LeClair 19 yd pass from Wallace Stone. (Wayne Gooney kick),13,44
