,Q,Score Type,Time Remaining,Play,COL,ARI
1,1,TD,10:34,Josh Garden 5 yd pass from King Bronko. (Cristiano Ronaldo kick),0,7
3,2,FG,14:19,19 yd FG by Cristiano Ronaldo,0,10
4,2,FG,9:48,31 yd FG by Bojo Kicksit,3,10
5,2,TD,7:24,Josh Garden 79 yd pass from King Bronko. (Cristiano Ronaldo kick),3,17
6,2,TD,1:12,Reg Mackworthy 5 yd run. (Cristiano Ronaldo kick),3,24
8,3,TD,10:42,Reg Mackworthy 1 yd run. (Cristiano Ronaldo kick),3,31
9,3,FG,4:07,33 yd FG by Bojo Kicksit,6,31
10,3,FG,2:08,22 yd FG by Bojo Kicksit,9,31
12,4,TD,11:32,Dustin Evans 28 yd pass from King Bronko. (Cristiano Ronaldo kick),9,38
13,4,FG,6:11,25 yd FG by Cristiano Ronaldo,9,41
14,4,FG,4:05,32 yd FG by Cristiano Ronaldo,9,44
15,4,SF,3:39,Nicholas Pierno tackled for a safety.,9,46
