,Q,Score Type,Time Remaining,Play,OCO,LV
1,1,TD,11:51,Robert Phelps 2 yd pass from Mike Boss. (Bradley Madlad kick),7,0
2,1,TD,6:45,Alexandre LeClair 1 yd pass from Wallace Stone. (Wayne Gooney XP no good),7,6
3,1,TD,2:45,Leon Morgan 21 yd interception return. (Wayne Gooney kick),7,13
4,1,TD,0:00,Bradley Westfield 88 yd punt return. (Bradley Madlad kick),14,13
6,2,TD,8:01,JJ Reigns 2 yd pass from Mike Boss. (Bradley Madlad kick),21,13
7,2,TD,4:58,JJ Reigns 1 yd pass from Mike Boss. (Bradley Madlad kick),28,13
8,2,TD,1:19,Erlich Burnsman 35 yd pass from Mike Boss. (Bradley Madlad kick),35,13
10,3,FG,9:47,40 yd FG by Bradley Madlad,38,13
11,3,TD,6:00,Ardie Savea 6 yd run. (Wayne Gooney kick),38,20
13,4,TD,13:34,Bradley Westfield 59 yd pass from Mike Boss. (Bradley Madlad kick),45,20
14,4,TD,7:25,Alexandre LeClair 24 yd pass from Wallace Stone. (Wayne Gooney kick),45,27
15,4,TD,2:53,JJ Reigns 12 yd pass from Mike Boss. (Bradley Madlad kick),52,27
