,Q,Score Type,Time Remaining,Play,PHI,COL
1,1,TD,10:39,Damien Kroetch 3 yd run. (Stephen Harris kick),7,0
2,1,FG,5:49,44 yd FG by Stephen Harris,10,0
4,2,FG,6:15,40 yd FG by Stephen Harris,13,0
5,2,FG,0:11,32 yd FG by Stephen Harris,16,0
7,3,FG,9:50,24 yd FG by Bojo Kicksit,16,3
8,3,TD,3:33,Vikian Marmeladov 60 yd interception return. (Stephen Harris kick),23,3
10,4,FG,14:18,44 yd FG by Stephen Harris,26,3
11,4,TD,8:04,Darlane Farlane 2 yd run. (Bojo Kicksit XP no good),26,9
12,4,FG,2:39,37 yd FG by Stephen Harris,29,9
13,4,FG,0:27,35 yd FG by Stephen Harris,32,9
